Date,aus,can,rsa,ger,fra,ned
2007-07-11,18.334318,25.305445,47.402817,26.723907,29.14707,24.04414
2007-07-12,18.646658,25.865046,48.309177,27.419062,29.824045,24.426037
2007-07-13,18.696629,26.087238,48.272923,27.347969,29.727335,24.479506
2007-07-16,18.721617,25.922653,48.077137,27.237377,29.563675,24.494783
2007-07-17,18.659151,26.00495,47.721855,27.063583,29.496719,24.487144
2007-07-18,18.640409,26.334122,47.877743,26.723907,29.199146,24.479506
2007-07-19,18.865294,26.490482,48.979889,26.952991,29.400005,24.601713
2007-07-20,18.821564,26.268288,48.50132,26.502724,28.901575,24.357298
2007-07-23,18.958994,26.087238,49.824612,26.700209,29.191704,24.448952
2007-07-24,18.73411,25.659311,48.196785,26.012955,28.455223,23.929571
2007-07-25,18.802824,25.601706,48.41431,25.933964,28.313875,23.90666
2007-07-26,17.790844,24.81991,45.492199,24.986025,27.153345,23.074127
2007-07-27,17.178665,24.441357,43.998508,24.259272,26.840897,22.615852
2007-07-30,17.572208,24.548342,45.329052,25.128214,27.450916,23.081764
2007-07-31,17.515984,24.57303,44.448071,25.19141,27.4286,22.951925
2007-08-01,17.203653,24.350838,44.480701,25.317804,27.458349,23.112318
2007-08-02,17.366062,24.83637,44.676476,25.3494,27.525309,23.104675
2007-08-03,16.741386,24.359066,42.599091,24.883329,26.915291,22.684599
2007-08-06,17.166168,24.243855,43.907875,25.570583,27.175665,23.028299
2007-08-07,17.31609,24.301464,44.078274,25.452095,27.294693,23.00539
2007-08-08,17.797092,24.852827,45.086147,25.570583,27.845198,23.394918
2007-08-09,17.047482,24.103952,43.023262,24.851734,27.465796,22.990114
2007-08-10,17.084961,24.16979,43.186413,24.575253,26.416855,22.310337
2007-08-13,17.122442,24.112181,43.106651,24.693743,26.416855,22.310337
2007-08-14,16.472778,23.494972,41.547703,24.535749,26.000257,22.020098
2007-08-15,15.748146,22.935375,40.025017,23.943295,25.256329,21.431974
2007-08-16,15.079742,22.647346,39.734974,24.093386,25.278652,21.34796
2007-08-17,15.573236,23.387993,40.441936,24.385664,25.583654,21.813869
2007-08-20,16.147942,23.601957,40.746468,24.361965,25.553904,21.897894
2007-08-21,16.085476,23.692484,40.329552,24.267174,25.561342,21.890253
2007-08-22,16.616453,24.09572,42.635334,24.883329,26.312708,22.470732
2007-08-23,17.128683,24.260311,42.468567,24.867529,26.357346,22.486012
2007-08-24,17.397299,24.498968,43.759232,25.270405,26.945047,22.776251
2007-08-27,17.272364,24.276768,43.132023,24.875427,26.796259,22.592943
2007-08-28,16.760128,23.651333,41.826866,24.480459,26.007692,21.94372
2007-08-29,17.353569,24.556568,44.484318,25.08872,26.848335,22.577667
2007-08-30,16.941284,24.210932,44.176151,24.954426,26.759071,22.417269
2007-08-31,17.453518,24.605947,45.300049,25.475792,27.235176,22.730417
2007-09-04,17.784601,24.926895,46.260796,25.736477,27.272375,23.035938
2007-09-05,17.241131,24.745842,44.810616,25.538992,26.751625,22.66168
2007-09-06,17.703392,24.885744,45.470444,25.436293,26.848335,22.921368
2007-09-07,17.372309,24.663553,44.458939,25.001823,26.372219,22.684599
2007-09-10,17.39105,24.556568,44.908501,24.72534,26.312708,22.638767
2007-09-11,18.034473,24.943352,46.587082,25.294104,26.729303,22.997751
2007-09-12,17.834572,25.247841,46.529076,25.428392,26.892963,23.119959
2007-09-13,18.046965,25.428886,46.869873,25.507391,27.056637,23.326183
2007-09-14,18.078199,25.585245,46.355053,25.452095,27.012003,23.287992
2007-09-17,17.74712,25.577019,45.550205,25.254604,26.550768,23.104675
2007-09-18,18.32807,26.276516,47.776226,26.249943,27.785688,24.028866
2007-09-19,18.73411,26.136621,47.410061,26.407928,28.031181,23.891386
2007-09-20,18.752851,26.284746,47.326675,26.629112,28.031181,23.90666
2007-09-21,18.865294,26.465799,47.801617,26.834503,28.217159,24.166349
2007-09-24,19.071436,26.474022,47.471699,26.723907,28.120451,23.967764
2007-09-25,19.340048,26.556318,48.030018,26.8582,28.165091,23.937214
2007-09-26,19.552439,26.638613,48.272923,26.976688,28.194843,24.173986
2007-09-27,19.708609,26.885494,48.892872,27.182077,28.537054,24.334389
2007-09-28,19.85853,26.934872,48.167782,27.316368,28.611443,24.471867
2007-10-01,20.358276,27.280508,49.059639,27.695543,29.080114,24.861401
2007-10-02,20.152126,27.066542,49.121277,27.545452,28.968525,24.555883
2007-10-03,20.070923,26.794971,49.661457,27.332167,28.708153,24.303829
2007-10-04,20.045931,27.115915,50.520699,27.371664,28.827183,24.456589
2007-10-05,20.389505,27.634369,51.84037,27.727139,29.080114,24.670452
2007-10-08,20.114651,27.510935,51.064522,27.490152,28.775112,24.502422
2007-10-09,20.651873,27.642599,51.717102,27.727139,29.154512,24.846127
2007-10-10,20.626888,27.790731,51.394436,27.640245,29.042917,24.960693
2007-10-11,20.770565,27.74958,51.673603,27.821934,29.109879,24.983606
2007-10-12,20.914242,28.169283,52.260918,27.885134,29.154512,25.082901
2007-10-15,20.614391,27.757813,50.799862,27.845636,29.005728,24.838482
2007-10-16,20.195862,27.502701,50.339436,27.569159,28.737909,24.563522
2007-10-17,20.252081,27.81542,50.944885,27.81403,29.087553,24.983606
2007-10-18,20.676857,28.366785,51.535816,27.90093,29.154512,24.99888
2007-10-19,19.883516,27.617912,49.998642,27.332167,28.499853,24.578796
2007-10-22,19.939739,27.691978,50.259666,27.110983,28.284117,24.410763
2007-10-23,20.47072,27.79896,52.478447,27.529652,28.708153,24.838482
2007-10-24,20.526937,27.831871,52.569084,27.648144,28.767666,24.632263
2007-10-25,20.583162,27.897713,53.529827,27.869326,29.005728,24.662819
2007-10-26,21.189096,28.424395,55.251915,28.098415,29.407438,24.68573
2007-10-29,21.438971,28.926394,55.13591,28.44599,29.615742,24.79266
2007-10-30,21.139126,28.646587,54.563084,28.2801,29.35537,24.609352
2007-10-31,21.682596,29.691734,55.578209,28.659279,29.675264,25.006517
2007-11-01,20.85177,28.909937,52.931629,27.790333,28.916454,24.571159
2007-11-02,21.076656,29.551826,54.570335,28.438095,29.280977,24.945417
2007-11-05,20.614391,29.337866,53.663971,27.885134,28.983402,24.701004
2007-11-06,21.032928,29.971521,55.328045,28.240608,29.38512,24.899588
2007-11-07,20.683109,29.255569,53.663971,28.003618,28.856941,24.357298
2007-11-08,20.864267,28.802946,55.034393,28.366999,29.005728,24.403128
2007-11-09,20.120899,28.177509,54.157024,28.106316,28.313875,23.914303
2007-11-12,19.215113,26.885494,50.727352,27.458559,27.867512,23.410196
2007-11-13,20.139639,27.535616,53.729229,28.043121,28.596563,24.082331
2007-11-14,20.145882,27.371025,53.468193,27.869326,28.693274,23.983038
2007-11-15,19.527458,26.251829,51.640965,27.166279,28.246922,23.517128
2007-11-16,19.764828,26.605696,52.308044,27.379568,28.48497,23.547682
2007-11-19,19.265089,25.939114,49.864491,26.795002,27.770805,22.936646
2007-11-20,19.614904,26.34235,52.025276,27.466457,28.455223,23.066492
2007-11-21,18.859047,25.684002,49.741222,27.150478,27.889843,22.615852
2007-11-23,19.090178,26.210682,50.596832,27.505953,28.633766,23.173424
2007-11-26,18.802824,26.276516,46.50732,27.000393,27.964228,22.707506
2007-11-27,19.1464,25.856821,48.581085,27.340067,28.336193,23.364368
2007-11-28,19.771078,26.581005,50.448189,28.185314,29.139633,23.738626
2007-11-29,19.589922,26.67153,51.17691,28.074722,28.923895,23.57823
2007-11-30,19.764828,26.260059,51.108025,28.130013,29.020597,23.646973
2007-12-03,19.683622,26.169535,50.952126,28.035219,28.879257,23.639332
2007-12-04,19.421257,25.675768,50.937622,28.106316,28.782547,23.540039
2007-12-05,19.664877,26.013178,51.865742,28.2801,29.0578,23.822645
2007-12-06,20.03969,26.284746,52.369678,28.532888,29.444643,24.143435
2007-12-07,19.839792,26.391729,51.999882,28.524992,29.199146,24.067055
2007-12-10,20.220848,26.556318,52.547329,28.833063,29.630621,24.426037
2007-12-11,19.689871,25.840357,50.176277,28.122112,28.871819,23.776814
2007-12-12,19.927244,26.09547,51.303795,28.793571,29.511589,24.036507
2007-12-13,19.783571,25.881508,50.219791,28.44599,28.909014,23.837917
2007-12-14,18.940252,25.741604,48.001011,27.719244,28.105568,23.387283
2007-12-17,18.240616,25.53587,46.387684,27.126783,27.66666,23.051222
2007-12-18,18.32807,25.511181,46.826363,27.569159,27.830315,23.181059
2007-12-19,18.240616,25.651079,45.854744,27.355862,27.711285,23.035938
2007-12-20,18.258251,25.758064,46.164982,27.490152,27.828436,23.194098
2007-12-21,18.761251,26.301201,47.990112,28.090513,28.324034,23.407616
2007-12-24,18.944164,26.741899,48.686096,28.265268,28.399122,23.597404
2007-12-26,18.96376,26.841873,48.823078,28.329405,28.609373,23.731842
2007-12-27,18.839642,26.825214,49.496857,28.345432,28.496737,23.557867
2007-12-28,19.022552,27.108463,49.915184,28.706167,29.029877,23.929541
2007-12-31,18.82658,26.758564,48.167801,28.409563,28.556803,23.692299
2008-01-02,18.800447,26.991829,48.774937,28.369484,28.489222,23.526234
2008-01-03,18.891901,27.108463,49.230297,28.28932,28.474209,23.470879
2008-01-04,18.349707,26.433664,47.904953,27.7362,27.775875,23.067568
2008-01-07,18.303978,26.058781,47.749466,27.760246,27.978607,23.194098
2008-01-08,18.140665,25.900492,47.730953,27.567856,27.760851,22.727528
2008-01-09,18.369308,25.96714,49.234005,27.656036,27.843445,22.869869
2008-01-10,18.643671,26.075438,48.952641,27.7362,27.911028,22.719616
2008-01-11,18.075344,25.658901,47.638401,27.343405,27.377895,22.324224
2008-01-14,18.38237,25.883833,49.315449,27.840416,27.941069,22.7987
2008-01-15,17.637667,25.184044,47.053471,27.070848,27.107563,21.944641
2008-01-16,17.402498,24.500917,44.758183,26.317324,26.589445,21.406895
2008-01-17,16.794979,23.792797,43.314373,25.924528,26.003742,21.185471
2008-01-18,17.043217,23.767805,44.00296,25.836349,25.9662,20.940325
2008-01-22,16.239721,23.626184,43.403221,24.209053,25.110165,20.434214
2008-01-23,16.265848,23.867777,43.410633,23.744112,24.531971,20.315596
2008-01-24,16.951759,24.642542,45.243164,24.505651,25.508142,21.138029
2008-01-25,17.500486,24.692526,42.833103,24.056746,24.847351,20.568653
2008-01-28,17.80098,24.642542,42.796085,24.706059,25.29789,21.130117
2008-01-29,17.546211,25.15905,43.103355,24.850351,25.628284,21.280367
2008-01-30,17.115072,25.200705,42.618385,24.81027,25.365475,21.138029
2008-01-31,17.559277,25.225695,43.440243,25.010675,25.530668,21.34363
2008-02-01,18.571814,25.758867,44.828514,25.211084,25.988726,21.675762
2008-02-04,18.140665,25.32567,43.732704,25.187033,25.748432,21.517605
2008-02-05,17.284914,24.792496,40.878407,23.864353,24.201574,20.370949
2008-02-06,17.160797,24.85914,40.993168,24.104839,24.306698,20.505386
2008-02-07,17.147734,24.625881,40.922832,23.944519,24.171535,20.323503
2008-02-08,17.134666,25.025759,40.441547,23.864353,23.908722,20.078356
2008-02-11,17.232649,25.284012,40.42675,23.976583,24.006344,20.125803
2008-02-12,17.467825,25.23403,41.507763,24.59383,24.727211,20.434214
2008-02-13,17.154266,25.683889,42.266678,24.970596,24.95999,20.88497
2008-02-14,17.199995,25.475622,42.366642,24.770191,24.817316,20.639822
2008-02-15,17.461294,25.309008,42.351837,24.698044,24.809807,20.671453
2008-02-19,17.53315,25.467291,43.314373,25.07481,25.185257,21.161749
2008-02-20,17.32411,25.85051,43.406929,25.018692,25.222799,21.185471
2008-02-21,17.278381,25.833847,43.140373,24.770191,25.102659,21.153839
2008-02-22,17.526615,25.96714,43.973343,24.842337,25.508142,21.509701
2008-02-25,18.081875,26.616945,44.939583,25.090837,25.943668,21.881376
2008-02-26,18.258251,27.100128,46.78693,25.55578,26.304098,22.158152
2008-02-27,18.434629,27.100128,46.364887,25.772221,26.491831,22.173971
2008-02-28,18.1668,27.450026,45.554138,25.523718,26.213993,22.007908
2008-02-29,17.337173,26.666929,43.877083,24.83432,25.478106,21.446436
2008-03-03,17.520088,26.466993,45.124695,24.874399,25.545691,21.462255
2008-03-04,17.03668,26.158749,44.35836,24.497635,25.290384,21.34363
2008-03-05,17.376368,26.666929,44.347252,24.794239,25.635798,21.588778
2008-03-06,16.860302,26.133759,42.655396,24.625896,25.237822,21.272459
2008-03-07,16.474888,25.85051,42.603569,24.257151,24.899912,21.153839
2008-03-10,16.154797,25.200705,42.322212,24.000629,24.659626,20.948233
2008-03-11,16.827641,25.933815,45.535622,24.794239,25.395512,21.683674
2008-03-12,16.749252,25.942148,45.272774,24.85837,25.500635,21.612505
2008-03-13,16.899504,26.358688,45.04324,25.002659,25.67334,21.873465
2008-03-14,16.514082,26.008795,44.184368,24.51367,25.192764,21.359447
2008-03-17,16.141733,25.100735,42.222252,24.04071,24.869877,21.114298
2008-03-18,16.566343,25.567263,44.373165,24.690025,25.650812,21.525513
2008-03-19,16.272383,24.17601,41.648438,23.936501,24.727211,20.956141
2008-03-20,16.226654,24.17601,41.348568,24.008646,24.922441,21.359447
2008-03-24,16.670862,24.74251,41.940903,24.81027,25.463091,21.754848
2008-03-25,16.670862,25.358995,42.518421,24.898451,25.853563,21.944641
2008-03-26,17.004019,25.408976,42.770172,25.050758,26.093845,22.189787
2008-03-27,16.886433,25.408976,43.010799,25.138939,26.003742,22.158152
2008-03-28,16.840706,25.209034,41.907578,25.106873,25.906122,22.126518
2008-03-31,16.827641,25.250689,41.922394,25.25918,26.236517,22.427021
2008-04-01,17.239187,25.558929,43.325474,25.884451,27.077532,22.980579
2008-04-02,17.441692,25.908827,44.450916,25.836349,27.100058,23.012215
2008-04-03,17.807512,26.250391,44.965504,25.8123,26.994934,22.877779
2008-04-04,18.023083,26.342028,44.399082,25.90048,27.100058,23.202007
2008-04-07,18.075344,26.350357,45.635567,26.036755,27.205189,23.186186
2008-04-08,18.081875,26.392014,45.891022,25.932543,27.077532,23.138744
2008-04-09,17.644201,26.308708,45.605953,25.804285,26.949879,23.020124
2008-04-10,17.598475,26.58362,45.720722,25.772221,26.927351,22.933138
2008-04-11,17.311045,26.025455,45.346809,25.299263,26.409233,22.529827
2008-04-14,17.160797,26.225395,44.824821,25.331327,26.604464,22.695892
2008-04-15,17.507015,26.466993,45.498596,25.427519,26.657024,22.83824
2008-04-16,18.219057,27.475018,46.3871,26.213118,27.467999,23.51833
2008-04-17,17.885899,27.275078,46.705475,25.908497,27.257746,23.336445
2008-04-18,17.87937,27.616646,46.646244,26.261211,27.505545,23.708117
2008-04-21,18.408499,27.833241,46.938709,26.437569,27.565615,23.731842
2008-04-22,18.199463,27.849903,47.357048,26.173031,27.287785,23.415522
2008-04-23,18.545679,27.083469,47.179348,26.397488,27.62569,23.399704
2008-04-24,18.245186,26.933512,46.3908,26.165018,27.392908,23.249456
2008-04-25,18.245186,27.2001,46.690674,26.341372,27.528074,23.257362
2008-04-28,18.140665,27.183434,46.853561,26.381451,27.603165,23.312719
2008-04-29,17.938162,26.650263,46.624035,26.1089,27.34034,23.130836
2008-04-30,18.147202,27.041811,46.464844,26.197081,27.377895,23.241545
2008-05-01,18.264784,26.958508,46.553692,26.573845,27.62569,23.4946
2008-05-02,18.571814,27.4167,46.960922,26.397488,27.595654,23.470879
2008-05-05,18.689398,27.525003,47.556965,26.621941,27.610668,23.431335
2008-05-06,18.839642,28.116491,49.385784,26.710117,27.873484,23.557867
2008-05-07,18.199463,27.899887,48.293663,26.317324,27.332842,23.099199
2008-05-08,18.69593,28.116491,49.226608,26.50971,27.498035,23.304811
2008-05-09,18.80698,28.266447,48.389927,26.437569,27.295294,23.281084
2008-05-12,19.283848,28.69964,49.356167,26.774252,27.610668,23.573681
2008-05-13,19.114006,28.549692,49.359871,26.629959,27.528074,23.304811
2008-05-14,19.225058,28.541361,48.586136,26.621941,27.663231,23.423435
2008-05-15,19.519018,29.04954,50.033649,26.90251,28.06872,23.81883
2008-05-16,19.806446,29.424431,50.674118,27.423567,28.36908,23.897909
2008-05-19,19.721525,29.482746,50.563057,27.335388,28.316515,23.716026
